task_id,arrival_time,task_length_MI,cpu_demand,memory_demand_MB,deadline_ms,qos_level,task_type
1,5488.1350392732475,1055,0.39467099496870883,132,3822,Medium,latency
2,7151.893663724195,4032,0.8898682514570454,951,3684,Medium,data
3,6027.633760716439,1445,0.553976392402902,208,3133,Low,latency
4,5448.831829968969,2753,0.8709492280891182,794,2144,Medium,compute
5,4236.547993389047,275,0.2462161268008269,561,4746,Low,compute
6,6458.941130666562,1486,0.3986719929316922,637,1317,High,compute
7,4375.872112626925,3492,0.5569013199003612,1003,1366,High,data
8,8917.730007820797,2475,0.4338633789511226,112,3096,Medium,compute
9,9636.627605010293,1493,0.6094732099328084,366,4701,High,latency
10,3834.415188257777,4607,0.7917945588682528,489,2025,Medium,data
11,7917.250380826646,1062,0.4839266569539862,784,3941,High,latency
12,5288.949197529045,943,0.42172685695270784,179,1057,High,data
13,5680.445610939323,1806,0.9058595721317132,328,4570,Medium,data
14,9255.96638292661,1539,0.940428281000624,567,1742,Medium,data
15,710.3605819788694,873,0.9678279882669003,278,1104,Medium,data
16,871.2929970154071,2599,0.6217639284139146,772,2096,Low,latency
17,202.1839744032572,635,0.9417439012911474,820,4292,High,compute
18,8326.19845547938,257,0.25056283361667464,354,3036,Medium,latency
19,7781.5675094985045,4486,0.4015862269044673,96,459,High,latency
20,8700.121482468192,4234,0.6786797098087047,548,431,High,compute
21,9786.18342232764,3607,0.36503941420969,477,3853,Medium,data
22,7991.585642167236,3663,0.1729583934161285,495,3619,Low,compute
23,4614.793622529319,1691,0.4768174253929389,571,3942,High,compute
24,7805.291762864555,3532,0.7398911640300866,468,2284,Low,latency
25,1182.7442586893321,893,0.8195159816301673,931,4766,High,compute
26,6399.210213275238,4372,0.6712592039968402,891,4539,Medium,latency
27,1433.532874090464,4264,0.16047719522565576,957,4067,High,compute
28,9446.68917049584,3106,0.5363088309806016,473,4292,Medium,data
29,5218.483217500717,2280,0.9378400664966611,601,1910,High,data
30,4146.619399905236,2401,0.8379174296331244,72,893,Low,data
31,2645.5561210462697,3088,0.7383811259798105,538,1180,Low,compute
32,7742.3368943421665,1038,0.4614516114345725,486,582,Low,compute
33,4561.503322165486,1631,0.5915585765667871,805,3476,Low,latency
34,5684.339488686485,4348,0.24805166049472432,155,4068,High,compute
35,187.89800436355142,3484,0.21326803484523923,499,1557,Medium,data
36,6176.354970758771,1432,0.8890939425438976,593,2980,Low,data
37,6120.957227224214,987,0.18118406403117593,581,3806,Low,compute
38,6169.339968747569,3708,0.9543989660582636,362,3593,High,data
39,9437.480785146241,2360,0.27531320369336953,588,2512,Low,data
40,6818.202991034834,1875,0.504689317760144,814,3455,Low,compute
41,3595.07900573786,538,0.9402425535731057,240,3247,High,latency
42,4370.319537993415,415,0.3162698235384173,70,3201,Low,data
43,6976.311959272649,1246,0.12127408684113457,342,4759,High,latency
44,602.2547162926983,3234,0.6396917682766923,883,4042,High,latency
45,6667.667154456677,1511,0.6023231410985637,927,1982,Medium,compute
46,6706.378696181594,278,0.5745413931202725,324,2843,High,compute
47,2103.825610738409,1522,0.6874393844810935,121,3518,Low,compute
48,1289.262976548533,1354,0.430614956187809,661,2807,Low,compute
49,3154.2835092418386,4937,0.4278378212516133,627,4004,High,compute
50,3637.107709426226,1788,0.9722397220886425,298,3025,High,data
51,5701.967704178796,1787,0.15634311934795184,685,2825,Low,data
52,4386.015134623203,572,0.8189994271462934,492,1305,High,latency
