task_id,task_length_MI,cpu_demand,memory_demand_GB,deadline_ms,qos_level,task_type,migration_size_MB,migration_time_ms,migration_energy_J,network_hops
T1,8237,0.55,1.44,1027,Medium,Data,25.23,43.94,66.24,7
T2,9158,0.54,1.6,846,Medium,Data,96.05,47.1,14.66,9
T3,6756,0.52,3.56,1091,Medium,Data,194.51,175.0,50.85,5
T4,5116,0.55,4.84,1349,Medium,Data,161.27,112.57,14.23,6
T5,14166,0.74,7.68,795,High,Compute,42.98,88.54,45.54,5
T6,4687,0.35,2.03,210,High,Latency,25.19,44.89,28.96,5
T7,5730,0.58,3.26,1123,Medium,Data,38.88,30.84,42.24,7
T8,6876,0.51,1.61,1403,Medium,Data,33.46,129.52,37.14,6
T9,14024,0.73,6.42,695,High,Compute,41.31,69.97,4.89,4
T10,3826,0.34,0.78,209,High,Latency,197.75,130.47,30.16,3
T11,11030,0.88,7.22,966,High,Compute,29.88,92.77,49.53,2
T12,10708,0.71,6.47,601,High,Compute,132.03,27.9,56.23,4
T13,1116,0.38,0.79,343,High,Latency,99.78,123.97,74.9,6
T14,5122,0.58,2.86,1274,Medium,Data,105.39,174.91,79.75,6
T15,6600,0.48,1.13,978,Medium,Data,124.44,25.0,58.69,7
T16,9990,0.65,2.2,560,High,Compute,177.22,144.55,20.81,8
T17,12757,0.67,3.28,448,High,Compute,62.67,154.45,20.75,3
T18,11432,0.64,4.49,875,High,Compute,62.52,11.71,51.4,3
T19,8479,0.45,3.38,940,Medium,Data,198.88,117.81,15.56,7
T20,10482,0.66,7.39,431,High,Compute,51.01,163.76,29.58,4
T21,6376,0.31,2.89,1223,Medium,Data,95.82,147.78,68.93,5
T22,3768,0.53,2.81,993,Medium,Data,70.78,159.18,34.0,5
T23,8232,0.42,3.24,1443,Medium,Data,72.89,61.77,19.64,5
T24,16038,0.83,3.63,561,High,Compute,88.4,147.48,66.7,7
T25,9230,0.59,4.36,1190,Medium,Data,124.91,25.78,11.01,5
T26,3832,0.47,2.02,1242,Medium,Data,166.29,45.54,30.13,6
T27,3327,0.33,4.2,1378,Medium,Data,174.11,89.52,33.09,3
T28,4675,0.27,0.75,195,High,Latency,30.63,161.52,11.29,4
T29,2311,0.46,2.58,264,High,Latency,58.11,198.61,26.68,9
T30,13005,0.69,7.38,406,High,Compute,76.64,173.55,51.44,1
T31,5198,0.55,1.49,1347,Medium,Data,65.21,74.33,17.37,8
T32,7177,0.57,4.27,1322,Medium,Data,131.54,76.08,24.93,8
T33,9409,0.71,2.21,931,High,Compute,46.9,64.0,6.84,3
T34,8029,0.53,2.45,852,Medium,Data,164.97,156.6,24.98,8
T35,13619,0.89,6.68,992,High,Compute,25.77,164.76,50.64,2
T36,3679,0.5,1.68,323,High,Latency,137.52,25.89,47.65,7
T37,6186,0.45,3.97,1036,Medium,Data,121.36,146.24,78.28,5
T38,8877,0.49,2.69,1465,Medium,Data,168.93,93.27,20.6,7
T39,6180,0.51,3.73,945,Medium,Data,147.3,165.83,72.49,3
T40,5089,0.47,2.1,816,Medium,Data,79.7,191.35,7.62,3
T41,8497,0.52,1.43,1141,Medium,Data,16.42,86.23,65.95,2
T42,15992,0.68,6.39,667,High,Compute,188.41,15.82,60.64,4
T43,9964,0.35,4.66,1275,Medium,Data,21.3,170.72,69.4,1
T44,6629,0.31,1.67,1162,Medium,Data,27.11,50.32,50.47,6
T45,12788,0.78,3.47,548,High,Compute,59.85,108.04,59.33,6
T46,3058,0.31,2.3,394,High,Latency,28.72,151.46,42.58,9
T47,4333,0.44,3.65,1205,Medium,Data,107.7,64.73,63.68,2
T48,8408,0.38,3.16,1266,Medium,Data,171.67,49.11,62.37,6
T49,6920,0.45,3.39,1281,Medium,Data,147.89,33.76,23.6,4
T50,4524,0.4,2.41,1440,Medium,Data,79.07,155.05,57.67,8
T51,3938,0.48,2.84,930,Medium,Data,199.49,140.29,46.64,2
T52,12203,0.81,3.63,923,High,Compute,58.03,37.82,34.0,9
T53,19307,0.84,7.77,416,High,Compute,65.51,75.25,30.8,7
T54,4894,0.36,0.72,179,High,Latency,22.49,179.12,77.32,1
T55,2799,0.39,2.4,297,High,Latency,142.4,169.97,44.11,6
T56,3513,0.35,1.05,125,High,Latency,166.54,96.01,68.74,1
T57,12873,0.78,8.0,485,High,Compute,179.21,19.17,16.52,8
T58,4853,0.24,2.33,275,High,Latency,31.56,102.24,64.32,4
T59,17018,0.88,4.85,771,High,Compute,49.99,86.57,69.95,2
T60,1401,0.36,2.11,113,High,Latency,108.89,175.83,11.52,8
T61,5667,0.34,1.31,970,Medium,Data,7.42,178.36,29.59,6
T62,12278,0.72,5.43,896,High,Compute,82.96,155.33,40.96,6
T63,3920,0.52,3.08,1292,Medium,Data,130.01,186.46,67.71,1
